ID đơn hàng,ID sản phẩm,Tên sản phẩm,Sku,Id Sku,Sku người bán,Giá,Payment Amount,Đơn vị tiền tệ,Số lượng,Phương thức thanh toán,Trạng thái đơn hàng,Tên người dùng nhà sáng tạo,Loại nội dung,Id nội dung,commission model,Tỷ lệ khấu trừ Thuế TNCN,Thuế TNCN ước tính,Thuế TNCN thực tế ,Tỷ lệ hoa hồng tiêu chuẩn,Cơ sở hoa hồng ước tính,Thanh toán hoa hồng tiêu chuẩn ước tính,Cơ sở hoa hồng thực tế,Thanh toán hoa hồng thực tế,Tỷ lệ hoa hồng Quảng cáo cửa hàng,Thanh toán hoa hồng Quảng cáo cửa hàng ước tính,Thanh toán hoa hồng Quảng cáo cửa hàng thực tế,Thưởng đồng chi trả cho nhà sáng tạo ước tính,Thưởng đồng chi trả cho nhà sáng tạo thực tế,Trả hàng & hoàn tiền,Hoàn tiền,Thời gian đã tạo,Thời gian thanh toán,Thời gian sẵn sàng vận chuyển,Order Delivery Time,Thời gian hoàn thành đơn hàng,Thời gian hoa hồng đã thanh toán,Platform,agreement_type
580806282363569551,1731838917675222584,"Áo thun THÊU cặp đôi BY.DUNI nam nữ form rộng Local Brand tay lỡ unisex, áo cặp bạn thân chữ cái KÝ TỰ YÊU THƯƠNG DHLC","OVS-T.Chữ D- Đen, S (dưới 60kg)",1732878574091994680,,215000,260100,VND,1,Thanh toán khi giao hàng,Đang xử lý,anhlinh.emhuong,Video,7546958293659340050,fixed commission,0,0,0,10,215000,21500,,,,,,,,0,0,17/10/2025 17:56:08,,17/10/2025 17:56:09,,,,TTS,Open/Target Collaboration
580806349051692968,1731838917675222584,"Áo thun THÊU cặp đôi BY.DUNI nam nữ form rộng Local Brand tay lỡ unisex, áo cặp bạn thân chữ cái KÝ TỰ YÊU THƯƠNG DHLC","OVS-T.Chữ K- Đen, L (dưới 90kg)",1732878743666067000,,191350,258100,VND,1,Thanh toán khi giao hàng,Đang xử lý,anhlinh.emhuong,Video,7546958293659340050,fixed commission,,,,10,191350,19135,,,,,,,,0,0,17/10/2025 18:00:29,19/10/2025 19:36:20,17/10/2025 18:00:30,19/10/2025 19:36:20,,,TTS,Open/Target Collaboration
580806349051692968,1731838917675222584,"Áo thun THÊU cặp đôi BY.DUNI nam nữ form rộng Local Brand tay lỡ unisex, áo cặp bạn thân chữ cái KÝ TỰ YÊU THƯƠNG DHLC","OVS-T.Chữ G- Đen, M (dưới 70kg)",1732878743665870392,,191350,258100,VND,1,Thanh toán khi giao hàng,Đang xử lý,anhlinh.emhuong,Video,7546958293659340050,fixed commission,,,,10,191350,19135,,,,,,,,0,0,17/10/2025 18:00:29,19/10/2025 19:36:20,17/10/2025 18:00:30,19/10/2025 19:36:20,,,TTS,Open/Target Collaboration
580806439694206432,1731838917675222584,"Áo thun THÊU cặp đôi BY.DUNI nam nữ form rộng Local Brand tay lỡ unisex, áo cặp bạn thân chữ cái KÝ TỰ YÊU THƯƠNG DHLC","OVS-T.Chữ T- Trắng, S (dưới 60kg)",1732878574089831992,,184900,252000,VND,1,Thanh toán khi giao hàng,Đang xử lý,anhlinh.emhuong,Video,7559962057148222727,fixed commission,0,0,0,10,184900,18490,,,,,,,,0,0,17/10/2025 18:06:09,,17/10/2025 18:06:10,,,,TTS,Open/Target Collaboration
580806439694206432,1731838917675222584,"Áo thun THÊU cặp đôi BY.DUNI nam nữ form rộng Local Brand tay lỡ unisex, áo cặp bạn thân chữ cái KÝ TỰ YÊU THƯƠNG DHLC","OVS-T.Chữ T- Trắng, M (dưới 70kg)",1732878721659405880,,184900,252000,VND,1,Thanh toán khi giao hàng,Đang xử lý,anhlinh.emhuong,Video,7559962057148222727,fixed commission,0,0,0,10,184900,18490,,,,,,,,0,0,17/10/2025 18:06:09,,17/10/2025 18:06:10,,,,TTS,Open/Target Collaboration
580806407567083354,1731838917675222584,"Áo thun THÊU cặp đôi BY.DUNI nam nữ form rộng Local Brand tay lỡ unisex, áo cặp bạn thân chữ cái KÝ TỰ YÊU THƯƠNG DHLC","OVS-T.Chữ V -Trắng, XS (dưới 50kg)",1732878574089569848,,205000,265000,VND,1,Thanh toán khi giao hàng,Đang xử lý,unmevn33,Video,7541257447055314197,fixed commission,,,,8,205000,16400,,,,,,,,0,0,17/10/2025 18:09:00,20/10/2025 15:36:58,17/10/2025 18:09:01,20/10/2025 15:36:58,,,TTS,Open/Target Collaboration
580806407567083354,1731838917675222584,"Áo thun THÊU cặp đôi BY.DUNI nam nữ form rộng Local Brand tay lỡ unisex, áo cặp bạn thân chữ cái KÝ TỰ YÊU THƯƠNG DHLC","OVS-T.Chữ H- Trắng, S (dưới 60kg)",1732878549686519352,,205000,265000,VND,1,Thanh toán khi giao hàng,Đang xử lý,unmevn33,Video,7541257447055314197,fixed commission,,,,8,205000,16400,,,,,,,,0,0,17/10/2025 18:09:00,20/10/2025 15:36:58,17/10/2025 18:09:01,20/10/2025 15:36:58,,,TTS,Open/Target Collaboration
580806553763087930,1731838917675222584,"Áo thun THÊU cặp đôi BY.DUNI nam nữ form rộng Local Brand tay lỡ unisex, áo cặp bạn thân chữ cái KÝ TỰ YÊU THƯƠNG DHLC","OVS-T.Chữ N- Đen, S (dưới 60kg)",1732878574092977720,,215000,260100,VND,1,Thanh toán khi giao hàng,Đang xử lý,anhlinh.emhuong,Video,7559962057148222727,fixed commission,,,,10,215000,21500,,,,,,,,0,0,17/10/2025 18:21:32,20/10/2025 15:08:11,17/10/2025 18:21:33,20/10/2025 15:08:11,,,TTS,Open/Target Collaboration
580806553763087930,1731838917675222584,"Áo thun THÊU cặp đôi BY.DUNI nam nữ form rộng Local Brand tay lỡ unisex, áo cặp bạn thân chữ cái KÝ TỰ YÊU THƯƠNG DHLC","OVS-T.Chữ Đ- Trắng, S (dưới 60kg)",1732878549686322744,,215000,260100,VND,1,Thanh toán khi giao hàng,Đang xử lý,anhlinh.emhuong,Video,7559962057148222727,fixed commission,,,,10,215000,21500,,,,,,,,0,0,17/10/2025 18:21:32,20/10/2025 15:08:11,17/10/2025 18:21:33,20/10/2025 15:08:11,,,TTS,Open/Target Collaboration
580806644951975595,1731838917675222584,"Áo thun THÊU cặp đôi BY.DUNI nam nữ form rộng Local Brand tay lỡ unisex, áo cặp bạn thân chữ cái KÝ TỰ YÊU THƯƠNG DHLC","OVS-T.Chữ T- Trắng, S (dưới 60kg)",1732878574089831992,,215000,259000,VND,1,Thanh toán khi giao hàng,Đang xử lý,anhlinh.emhuong,Video,7546958293659340050,fixed commission,,,,10,215000,21500,,,,,,,,0,0,17/10/2025 18:25:22,20/10/2025 15:04:54,17/10/2025 18:25:23,20/10/2025 15:04:54,,,TTS,Open/Target Collaboration
